"Car","Slug","SourceFile","SourcePage","License","LicenseUrl","Artist"
"팰리세이드","palisade","File:Hyundai_Palisade_in_White,_front_right_(South_Korea).jpg","https://commons.wikimedia.org/wiki/File:Hyundai_Palisade_in_White,_front_right_(South_Korea).jpg","Wikimedia Commons - 개별 파일 페이지 참조","https://commons.wikimedia.org/wiki/File:Hyundai_Palisade_in_White,_front_right_(South_Korea).jpg","개별 파일 페이지 참조"
"QM6","qm6","Renault Samsung QM6 HZG FL Metallic Black Unmarked (1).jpg","https://commons.wikimedia.org/wiki/File:Renault_Samsung_QM6_HZG_FL_Metallic_Black_Unmarked_(1).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Damian B Oh "
"레이","ray","The New Kia Ray TAM 2025-03-07.jpg","https://commons.wikimedia.org/wiki/File:The_New_Kia_Ray_TAM_2025-03-07.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Treeinkr "
"렉스턴","rexton","2024 Ssangyong Rexton Auto.jpg","https://commons.wikimedia.org/wiki/File:2024_Ssangyong_Rexton_Auto.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Calreyn88 "
"싼타페","santafe","File:2024_Hyundai_Santa_Fe_(MX5)_IMG_5295.jpg","https://commons.wikimedia.org/wiki/File:2024_Hyundai_Santa_Fe_(MX5)_IMG_5295.jpg","Wikimedia Commons - 개별 파일 페이지 참조","https://commons.wikimedia.org/wiki/File:2024_Hyundai_Santa_Fe_(MX5)_IMG_5295.jpg","개별 파일 페이지 참조"
"세닉 E-Tech","scenic-e-tech","Renault Scénic E-Tech (2025) (54712552219).jpg","https://commons.wikimedia.org/wiki/File:Renault_Sc%C3%A9nic_E-Tech_(2025)_(54712552219).jpg","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"," Charles  from Port Chester, New York"
"셀토스","seltos","2026 Kia Seltos.jpg","https://commons.wikimedia.org/wiki/File:2026_Kia_Seltos.jpg","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"," DoulosBen "
"쏘나타","sonata","File:Hyundai_Sonata_DN8_(1).jpg","https://commons.wikimedia.org/wiki/File:Hyundai_Sonata_DN8_(1).jpg","Wikimedia Commons - 개별 파일 페이지 참조","https://commons.wikimedia.org/wiki/File:Hyundai_Sonata_DN8_(1).jpg","개별 파일 페이지 참조"
"쏘렌토","sorento","File:Kia_Sorento_MQ4_black_(1).jpg","https://commons.wikimedia.org/wiki/File:Kia_Sorento_MQ4_black_(1).jpg","Wikimedia Commons - 개별 파일 페이지 참조","https://commons.wikimedia.org/wiki/File:Kia_Sorento_MQ4_black_(1).jpg","개별 파일 페이지 참조"
"스포티지","sportage","Kia Sportage (NQ5) 1758033820001.jpg","https://commons.wikimedia.org/wiki/File:Kia_Sportage_(NQ5)_1758033820001.jpg","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"," Trop86 "
"스타리아","staria","0Hyundai Staria.jpg","https://commons.wikimedia.org/wiki/File:0Hyundai_Staria.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/","Benespit"
"테슬라 모델3","tesla-model-3","2024 Tesla Model 3.jpg","https://commons.wikimedia.org/wiki/File:2024_Tesla_Model_3.jpg","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"," Lcaa9 "
"테슬라 모델Y","tesla-model-y","Tesla Model Y.jpg","https://commons.wikimedia.org/wiki/File:Tesla_Model_Y.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Lekhaki "
"토레스","torres","2024 KGM Torres.jpg","https://commons.wikimedia.org/wiki/File:2024_KGM_Torres.jpg","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"," Corvettec6r "
"토레스 EVX","torres-evx","KGM Torres EVX – f 01092025.jpg","https://commons.wikimedia.org/wiki/File:KGM_Torres_EVX_%E2%80%93_f_01092025.jpg","CC BY-SA 3.0 de","https://creativecommons.org/licenses/by-sa/3.0/de/deed.en"," ©  M 93  "
"투싼","tucson","0 Hyundai Tucson (NX4).jpg","https://commons.wikimedia.org/wiki/File:0_Hyundai_Tucson_(NX4).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Benespit "
"볼보 XC60","volvo-xc60","2017 Volvo XC60.jpg","https://commons.wikimedia.org/wiki/File:2017_Volvo_XC60.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Makizox "
